Company	Product	APS	Specification
IoLiTec	Samarium (III) oxide nanoparticles	30-50nm	P(99.9)
Inframat Advanced Materials LLC	Samarium oxide nanoparticles	30-50nm	P(99.9), C(TEM)
KM Labs	Silicon Carbide	powder	CAS # 409-21-2 20-75 nm.
Adnano technologies pvt. ltd	Silicon Dioxide Nanoparticles	~20-50 nm	basis for a great deal of biomedical research due to their stability, Low toxicity and ability to be functionalized with a high range of molecules and polymers.
Nanomakers	Carbon coated Silicon nanoparticles 40nm	40-50nm	SSA=52-65m2/g; Density=2.2-2.4g/cm3; Moisture content<1%wt.; Oxygen<3%wt.; Iron<40ppm; Chromium<20ppm; Nickel<5ppm;
Nanomakers	Carbon coated Silicon nanoparticles 75nm	70-90nm	SSA=29-37m2/g; Density=2.2-2.4g/cm3; Moisture content<1%wt.; Oxygen<3%wt.; Iron<40ppm; Chromium<20ppm; Nickel<5ppm;
CD Bioparticles	DiagNano Acrylate Silica Nanoparticles, 100 nm		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano Acrylate Silica Nanoparticles, 30 nm		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano Acrylate Silica Nanoparticles, 50 nm		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano Acrylate Silica Nanoparticles, 70 nm		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano Acrylate Silica Particles, 1		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano Acrylate Silica Particles, 200 nm		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano Acrylate Silica Particles, 300 nm		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano Acrylate Silica Particles, 500 nm		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano Al2O3 Coated Silica Particles, 1		Solar collectors, photocatalyzers, random lasers, optical devices, nanotoxicology study
CD Bioparticles	DiagNano Al2O3 Coated Silica Particles, 300 nm		Solar collectors, photocatalyzers, random lasers, optical devices, nanotoxicology study
CD Bioparticles	DiagNano Al2O3 Coated Silica Particles, 500 nm		Solar collectors, photocatalyzers, random lasers, optical devices, nanotoxicology study
CD Bioparticles	DiagNano Al2O3 Coated Silica Particles, 70 nm		Solar collectors, photocatalyzers, random lasers, optical devices, nanotoxicology study
CD Bioparticles	DiagNano Albumin Silica Particles, 1		The albumin (BSA) coated silica particles are well biocompatible and suitable for biological applications.
CD Bioparticles	DiagNano Albumin Silica Particles, 1.5		The albumin (BSA) coated silica particles are well biocompatible and suitable for biological applications.
CD Bioparticles	DiagNano Albumin Silica Particles, 10		The albumin (BSA) coated silica particles are well biocompatible and suitable for biological applications.
CD Bioparticles	DiagNano Albumin Silica Particles, 15		The albumin (BSA) coated silica particles are well biocompatible and suitable for biological applications.
CD Bioparticles	DiagNano Albumin Silica Particles, 20		The albumin (BSA) coated silica particles are well biocompatible and suitable for biological applications.
CD Bioparticles	DiagNano Albumin Silica Particles, 3		The albumin (BSA) coated silica particles are well biocompatible and suitable for biological applications.
CD Bioparticles	DiagNano Albumin Silica Particles, 300 nm		The albumin (BSA) coated silica particles are well biocompatible and suitable for biological applications.
CD Bioparticles	DiagNano Albumin Silica Particles, 4		The albumin (BSA) coated silica particles are well biocompatible and suitable for biological applications.
CD Bioparticles	DiagNano Albumin Silica Particles, 5		The albumin (BSA) coated silica particles are well biocompatible and suitable for biological applications.
CD Bioparticles	DiagNano Albumin Silica Particles, 500 nm		The albumin (BSA) coated silica particles are well biocompatible and suitable for biological applications.
CD Bioparticles	DiagNano Amine Silica Nanoparticles, 100 nm		Ideal for the covalent binding of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano Amine Silica Nanoparticles, 30 nm		Ideal for the covalent binding of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano Amine Silica Nanoparticles, 50 nm		Ideal for the covalent binding of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano Amine Silica Nanoparticles, 70 nm		Ideal for the covalent binding of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano Amine Silica Particles, 1		Ideal for the covalent binding of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano Amine Silica Particles, 1.5		Ideal for the covalent binding of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano Amine Silica Particles, 10		Ideal for the covalent binding of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano Amine Silica Particles, 15		Ideal for the covalent binding of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano Amine Silica Particles, 20		Ideal for the covalent binding of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano Amine Silica Particles, 200 nm		Ideal for the covalent binding of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano Amine Silica Particles, 3		Ideal for the covalent binding of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano Amine Silica Particles, 300 nm		Ideal for the covalent binding of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano Amine Silica Particles, 4		Ideal for the covalent binding of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano Amine Silica Particles, 5		Ideal for the covalent binding of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano Amine Silica Particles, 500 nm		Ideal for the covalent binding of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano Avidin Silica Particles, 1		Avidin coated particles are ideal for binding biotinylated molecules with a high affinity.
CD Bioparticles	DiagNano Avidin Silica Particles, 1.5		Avidin coated particles are ideal for binding biotinylated molecules with a high affinity.
CD Bioparticles	DiagNano Avidin Silica Particles, 10		Avidin coated particles are ideal for binding biotinylated molecules with a high affinity.
CD Bioparticles	DiagNano Avidin Silica Particles, 15		Avidin coated particles are ideal for binding biotinylated molecules with a high affinity.
CD Bioparticles	DiagNano Avidin Silica Particles, 20		Avidin coated particles are ideal for binding biotinylated molecules with a high affinity.
CD Bioparticles	DiagNano Avidin Silica Particles, 3		Avidin coated particles are ideal for binding biotinylated molecules with a high affinity.
CD Bioparticles	DiagNano Avidin Silica Particles, 300 nm		Avidin coated particles are ideal for binding biotinylated molecules with a high affinity.
CD Bioparticles	DiagNano Avidin Silica Particles, 4		Avidin coated particles are ideal for binding biotinylated molecules with a high affinity.
CD Bioparticles	DiagNano Avidin Silica Particles, 5		Avidin coated particles are ideal for binding biotinylated molecules with a high affinity.
CD Bioparticles	DiagNano Avidin Silica Particles, 500 nm		Avidin coated particles are ideal for binding biotinylated molecules with a high affinity.
CD Bioparticles	DiagNano Black Coloured Silica Particles, 1		The coloured silica particles are applied for membrane checks, flow investigations or the quality check of antibody coupling procedures on surfaces.
CD Bioparticles	DiagNano Black Coloured Silica Particles, 10		The coloured silica particles are applied for membrane checks, flow investigations or the quality check of antibody coupling procedures on surfaces.
CD Bioparticles	DiagNano Black Coloured Silica Particles, 100		The coloured silica particles are applied for membrane checks, flow investigations or the quality check of antibody coupling procedures on surfaces.
CD Bioparticles	DiagNano Black Coloured Silica Particles, 20		The coloured silica particles are applied for membrane checks, flow investigations or the quality check of antibody coupling procedures on surfaces.
CD Bioparticles	DiagNano Black Coloured Silica Particles, 3		The coloured silica particles are applied for membrane checks, flow investigations or the quality check of antibody coupling procedures on surfaces.
CD Bioparticles	DiagNano Black Coloured Silica Particles, 5		The coloured silica particles are applied for membrane checks, flow investigations or the quality check of antibody coupling procedures on surfaces.
CD Bioparticles	DiagNano Blue Coloured Silica Nanoparticles, 100 nm		The coloured silica particles are applied for membrane checks, flow investigations or the quality check of antibody coupling procedures on surfaces.
CD Bioparticles	DiagNano Blue Coloured Silica Particles, 1		The coloured silica particles are applied for membrane checks, flow investigations or the quality check of antibody coupling procedures on surfaces.
CD Bioparticles	DiagNano Blue Coloured, Amine Silica Particles, 10		The coloured silica particles are applied for membrane checks, flow investigations or the quality check of antibody coupling procedures on surfaces.
CD Bioparticles	DiagNano Blue Coloured, Amine Silica Particles, 15		The coloured silica particles are applied for membrane checks, flow investigations or the quality check of antibody coupling procedures on surfaces.
CD Bioparticles	DiagNano Blue Coloured, Amine Silica Particles, 20		The coloured silica particles are applied for membrane checks, flow investigations or the quality check of antibody coupling procedures on surfaces.
CD Bioparticles	DiagNano Blue Coloured, Amine Silica Particles, 3		The coloured silica particles are applied for membrane checks, flow investigations or the quality check of antibody coupling procedures on surfaces.
